Bot Score:,0,Player Score: ,0,Time Between Rounds: ,7.68
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,7.699999
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,7.699999
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,17.72
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,17.7
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,7.700005
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,7.700005
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,11,Player Score: ,0,Time Between Rounds: ,22.76
Bot Score:,12,Player Score: ,0,Time Between Rounds: ,22.75999
Bot Score:,13,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,14,Player Score: ,0,Time Between Rounds: ,11.48001
Bot Score:,15,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,16,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,17,Player Score: ,0,Time Between Rounds: ,3.180008
Bot Score:,18,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,19,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,20,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,21,Player Score: ,0,Time Between Rounds: ,3.660004
Bot Score:,22,Player Score: ,0,Time Between Rounds: ,17.7
Bot Score:,23,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,24,Player Score: ,0,Time Between Rounds: ,7.700012
Bot Score:,25,Player Score: ,0,Time Between Rounds: ,7.699982
Bot Score:,26,Player Score: ,0,Time Between Rounds: ,11.48001
Bot Score:,27,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,28,Player Score: ,0,Time Between Rounds: ,7.700012
Bot Score:,29,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,30,Player Score: ,0,Time Between Rounds: ,3.179993
Total Time:,296.4324
