Bot Score:,0,Player Score: ,0,Time Between Rounds: ,17.68
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,7.700001
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,7.700001
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,7.700005
Bot Score:,11,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,12,Player Score: ,0,Time Between Rounds: ,11.54
Bot Score:,13,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,14,Player Score: ,0,Time Between Rounds: ,7.699989
Bot Score:,15,Player Score: ,0,Time Between Rounds: ,7.700012
Bot Score:,16,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,17,Player Score: ,0,Time Between Rounds: ,22.75999
Bot Score:,18,Player Score: ,0,Time Between Rounds: ,7.700012
Bot Score:,19,Player Score: ,0,Time Between Rounds: ,10.67999
Total Time:,187.4223
