Bot Score:,0,Player Score: ,0,Time Between Rounds: ,14.74
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,27.86
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,14.75999
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,7.700005
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,20.31999
Bot Score:,11,Player Score: ,0,Time Between Rounds: ,27.10001
Bot Score:,12,Player Score: ,0,Time Between Rounds: ,14.75999
Bot Score:,13,Player Score: ,0,Time Between Rounds: ,22.75999
Bot Score:,14,Player Score: ,0,Time Between Rounds: ,17.70001
Bot Score:,15,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,16,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,17,Player Score: ,0,Time Between Rounds: ,27.09999
Bot Score:,18,Player Score: ,0,Time Between Rounds: ,17.70001
Bot Score:,19,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,20,Player Score: ,0,Time Between Rounds: ,7.700012
Bot Score:,21,Player Score: ,0,Time Between Rounds: ,27.10001
Bot Score:,22,Player Score: ,0,Time Between Rounds: ,11.47998
Bot Score:,23,Player Score: ,0,Time Between Rounds: ,3.480011
Bot Score:,24,Player Score: ,0,Time Between Rounds: ,17.70001
Bot Score:,25,Player Score: ,0,Time Between Rounds: ,7.699982
Bot Score:,26,Player Score: ,0,Time Between Rounds: ,36.89999
Bot Score:,27,Player Score: ,0,Time Between Rounds: ,25.38
Bot Score:,28,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,29,Player Score: ,0,Time Between Rounds: ,3.180023
Bot Score:,30,Player Score: ,0,Time Between Rounds: ,22.75998
Total Time:,611.7093
