Bot Score:,0,Player Score: ,0,Time Between Rounds: ,7.68
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,20.32
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,17.7
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,30.96
Bot Score:,6,Player Score: ,1,Time Between Rounds: ,25.00001
Bot Score:,7,Player Score: ,1,Time Between Rounds: ,7.699997
Bot Score:,8,Player Score: ,1,Time Between Rounds: ,30.95999
Bot Score:,8,Player Score: ,2,Time Between Rounds: ,3.180008
Bot Score:,9,Player Score: ,2,Time Between Rounds: ,17.7
Bot Score:,10,Player Score: ,2,Time Between Rounds: ,7.699997
Bot Score:,11,Player Score: ,2,Time Between Rounds: ,30.96001
Bot Score:,12,Player Score: ,2,Time Between Rounds: ,17.7
Bot Score:,13,Player Score: ,2,Time Between Rounds: ,22.75999
Bot Score:,14,Player Score: ,2,Time Between Rounds: ,29.10001
Total Time:,302.599
