Bot Score:,0,Player Score: ,0,Time Between Rounds: ,7.68
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,53.86
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,20.32
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,17.7
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,17.8
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,3.180008
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,3.180008
Bot Score:,11,Player Score: ,0,Time Between Rounds: ,20.31999
Bot Score:,12,Player Score: ,0,Time Between Rounds: ,18.96001
Bot Score:,12,Player Score: ,1,Time Between Rounds: ,3.179993
Bot Score:,13,Player Score: ,1,Time Between Rounds: ,11.48001
Bot Score:,14,Player Score: ,1,Time Between Rounds: ,7.699997
Bot Score:,15,Player Score: ,1,Time Between Rounds: ,14.75999
Bot Score:,16,Player Score: ,1,Time Between Rounds: ,14.75999
Bot Score:,17,Player Score: ,1,Time Between Rounds: ,14.76001
Bot Score:,18,Player Score: ,1,Time Between Rounds: ,13.77998
Bot Score:,19,Player Score: ,1,Time Between Rounds: ,7.700012
Total Time:,281.3291
