Bot Score:,0,Player Score: ,0,Time Between Rounds: ,3.16
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,7.7
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,7.7
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,27.1
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,3.16
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,22.76
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,14.75999
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,30.96001
Total Time:,148.9688
